,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
584,4,20,3,3,2,3,7,2,2,3,3,4,3,2,4,6,7,3,1,3,4,3,2,5,3,3,3,3,4,3,5,3,2,4,5,4,3,7,6,5,6,5,6,2,2,2,2,2,3,1,1,4002,4001,2,3,5,1,43,2,1,1,8,1,1,0,NA,NA,1,1,1
585,2,22,2,1,2,2,5,2,2,1,5,2,5,6,6,4,5,3,3,1,4,4,1,6,2,4,1,1,1,1,7,3,6,3,1,7,2,8,10,10,10,10,10,2,2,1,2,3,2,1,1,4004,77,1,5,7,2,29,5,4,11,9,2,0,0,NA,NA,1,1,1
586,2,58,3,2,1,2,4,1,2,1,4,3,4,1,4,3,3,1,4,3,1,6,3,6,5,5,2,2,3,7,6,3,6,2,3,7,3,10,10,10,10,10,10,2,2,1,1,3,3,1,1,4001,4002,1,2,1,1,43,4,3,1,15,2,1,1,0,1,1,1,1
587,3,58,3,2,1,2,2,1,2,1,2,2,2,2,2,2,4,1,1,1,1,3,3,2,5,5,2,1,3,7,2,2,5,3,3,7,4,10,10,8,9,10,10,1,2,2,1,1,4,1,1,4004,4003,1,5,1,1,35,5,4,11,6,3,0,0,NA,NA,1,1,2
588,1,59,2,2,2,2,9,2,2,1,6,5,5,5,6,7,7,6,7,6,7,6,3,5,1,4,3,3,3,4,5,7,6,7,3,6,2,6,1,1,1,5,1,3,3,3,2,3,4,1,1,4002,4001,2,3,4,2,62,5,3,4,5,6,0,1,1,0,1,1,1
589,4,21,1,1,2,3,5,2,2,2,2,3,7,7,6,7,6,1,1,1,4,2,1,4,1,5,3,2,2,2,4,4,6,3,2,7,2,10,10,10,7,10,10,2,3,2,2,3,4,1,1,4002,4003,2,5,1,1,48,5,2,2,15,2,0,2,1,1,4008,1,1
590,2,59,1,2,1,2,5,2,2,1,5,4,4,5,5,7,7,5,6,4,7,5,1,5,1,4,1,2,1,4,7,4,6,7,1,7,2,1,5,1,5,10,5,2,2,2,2,3,2,1,1,4002,4003,2,3,5,1,78,4,2,1,5,3,0,2,2,0,1,2,1
591,2,5,1,1,2,2,8,2,2,2,3,6,5,6,7,7,7,5,7,4,6,6,5,5,1,3,1,2,4,5,7,5,6,7,3,4,3,6,1,3,3,5,1,3,1,1,2,2,2,1,1,4002,4001,1,3,6,2,81,3,1,2,3,6,0,3,2,1,1,1,2
592,1,26,1,1,1,1,8,2,2,1,7,5,7,7,7,7,7,5,7,5,7,7,1,5,1,2,1,1,1,1,7,5,7,7,1,4,1,10,10,1,10,10,5,3,2,2,2,2,2,1,1,4002,4003,1,3,1,1,53,2,2,1,15,2,0,5,1,4,4003,1,1
593,2,57,2,2,2,2,8,2,2,1,6,5,4,7,6,7,7,5,4,3,5,6,1,6,2,2,2,1,2,5,7,4,2,5,2,6,2,9,9,5,7,10,10,3,3,2,2,2,3,1,1,4002,4001,3,3,3,2,74,5,1,2,5,4,0,2,0,2,1,1,1
594,3,5,2,3,2,2,8,2,2,3,4,4,4,3,4,5,5,3,4,4,5,1,2,3,3,4,4,3,3,4,5,3,4,3,3,4,4,5,5,4,5,8,10,1,1,1,1,2,5,1,1,4002,4001,2,3,5,2,59,2,2,2,9,4,0,0,NA,NA,1,1,1
